lv,price,production_n
1,4720,23
2,4862,30
3,5008,39
4,5158,51
5,5313,66
6,5472,76
7,5636,87
8,5805,100
9,5979,115
10,6158,132
11,6343,152
12,6533,175
13,6729,201
14,6931,231
15,7139,266
16,7353,306
17,7574,352
18,7801,405
19,8035,466
20,8276,536
21,8442,574
22,8611,614
23,8783,657
24,8959,703
25,9138,752
26,9321,767
27,9507,782
28,9697,798
29,9891,814
30,10089,830
31,10291,847
32,10497,864
33,10707,881
34,10921,899
35,11139,917
36,11362,935
37,11589,954
38,11821,973
39,12057,992
40,12298,1012
41,12544,1032
42,12795,1053
43,13051,1074
44,13312,1095
45,13578,1117
46,13850,1139
47,14127,1162
48,14410,1185
49,14698,1209
50,14992,1233
51,15266,1245
52,15545,1257
53,15829,1270
54,16119,1283
55,16414,1296
56,16714,1309
57,17020,1322
58,17331,1335
59,17648,1348
60,17971,1361
61,18300,1375
62,18635,1389
63,18976,1403
64,19323,1417
65,19677,1431
66,20037,1445
67,20404,1459
68,20777,1474
69,21157,1489
70,21544,1504
71,21938,1519
72,22339,1534
73,22748,1549
74,23164,1564
75,23588,1580
76,24020,1596
77,24460,1612
78,24908,1628
79,25364,1644
80,25828,1660
81,26301,1677
82,26782,1694
83,27272,1711
84,27771,1728
85,28279,1745
86,28797,1762
87,29324,1780
88,29861,1798
89,30407,1816
90,30963,1834
91,31530,1852
92,32107,1871
93,32695,1890
94,33293,1909
95,33902,1928
96,34522,1947
97,35154,1966
98,35797,1986
99,36452,2006
100,37119,2026
101,37490,2036
102,37865,2046
103,38244,2056
104,38626,2066
105,39012,2076
106,39402,2086
107,39796,2096
108,40194,2106
109,40596,2117
110,41002,2128
111,41412,2139
112,41826,2150
113,42244,2161
114,42666,2172
115,43093,2183
116,43524,2194
117,43959,2205
118,44399,2216
119,44843,2227
120,45291,2238
121,45744,2249
122,46201,2260
123,46663,2271
124,47130,2282
125,47601,2293
126,48077,2304
127,48558,2316
128,49044,2328
129,49534,2340
130,50029,2352
131,50529,2364
132,51034,2376
133,51544,2388
134,52059,2400
135,52580,2412
136,53106,2424
137,53637,2436
