lv,price,production_n
1,10200,40
2,10506,48
3,10821,58
4,11146,70
5,11480,84
6,11824,97
7,12179,112
8,12544,129
9,12920,148
10,13308,170
11,13707,196
12,14118,225
13,14542,259
14,14978,298
15,15427,343
16,15890,394
17,16367,453
18,16858,521
19,17364,599
20,17885,689
21,18126,737
22,18371,789
23,18619,844
24,18870,903
25,19125,966
26,19383,985
27,19645,1005
28,19910,1025
29,20179,1046
30,20451,1067
31,20727,1088
32,21007,1110
33,21291,1132
34,21578,1155
35,21869,1178
36,22164,1202
37,22463,1226
38,22766,1251
39,23073,1276
40,23384,1302
41,23700,1328
42,24020,1355
43,24344,1382
44,24673,1410
45,25006,1438
46,25344,1467
47,25686,1496
48,26033,1526
49,26384,1557
50,26740,1588
51,27007,1604
52,27277,1620
53,27550,1636
54,27826,1652
55,28104,1669
56,28385,1686
57,28669,1703
58,28956,1720
59,29246,1737
60,29538,1754
61,29833,1772
62,30131,1790
63,30432,1808
64,30736,1826
65,31043,1844
66,31353,1862
67,31667,1881
68,31984,1900
69,32304,1919
70,32627,1938
71,32953,1957
72,33283,1977
73,33616,1997
74,33952,2017
75,34292,2037
76,34635,2057
77,34981,2078
78,35331,2099
79,35684,2120
80,36041,2141
81,36401,2162
82,36765,2184
83,37133,2206
84,37504,2228
85,37879,2250
86,38258,2273
87,38641,2296
88,39027,2319
89,39417,2342
90,39811,2365
91,40209,2389
92,40611,2413
93,41017,2437
94,41427,2461
95,41841,2486
96,42259,2511
97,42682,2536
98,43109,2561
99,43540,2587
100,43975,2613
101,44415,2626
102,44859,2639
103,45308,2652
104,45761,2665
105,46219,2678
106,46681,2691
107,47148,2704
108,47619,2718
109,48095,2732
110,48576,2746
111,49062,2760
112,49553,2774
113,50049,2788
114,50549,2802
115,51054,2816
116,51565,2830
117,52081,2844
118,52602,2858
119,53128,2872
120,53659,2886
121,54196,2900
122,54738,2915
123,55285,2930
124,55838,2945
125,56396,2960
126,56960,2975
127,57530,2990
128,58105,3005
129,58686,3020
130,59273,3035
131,59866,3050
132,60465,3065
133,61070,3080
134,61681,3095
135,62298,3110
136,62921,3126
137,63550,3142
138,64186,3158
139,64828,3174
140,65476,3190
141,66131,3206
142,66792,3222
143,67460,3238
144,68135,3254
145,68816,3270
146,69504,3286
147,70199,3302
148,70901,3319
149,71610,3336
150,72326,3353
151,73049,3370
152,73779,3387
153,74517,3404
154,75262,3421
155,76015,3438
156,76775,3455
157,77543,3472
158,78318,3489
159,79101,3506
160,79892,3524
161,80691,3542
162,81498,3560
163,82313,3578
164,83136,3596
165,83967,3614
166,84807,3632
167,85655,3650
168,86512,3668
169,87377,3686
170,88251,3704
171,89134,3723
172,90025,3742
173,90925,3761
174,91834,3780
175,92752,3799
176,93680,3818
177,94617,3837
178,95563,3856
179,96519,3875
180,97484,3894
181,98459,3913
182,99444,3933
183,100438,3953
184,101442,3973
185,102456,3993
186,103481,4013
187,104516,4033
188,105561,4053
189,106617,4073
190,107683,4093
191,108760,4113
192,109848,4134
193,110946,4155
194,112055,4176
195,113176,4197
196,114308,4218
197,115451,4239
198,116606,4260
199,117772,4281
200,118950,4302
201,119426,4311
202,119904,4320
203,120384,4329
204,120866,4338
205,121349,4347
206,121834,4356
207,122321,4365
208,122810,4374
209,123301,4383
210,123794,4392
211,124289,4401
212,124786,4410
213,125285,4419
214,125786,4428
215,126289,4437
216,126794,4446
217,127301,4455
218,127810,4464
219,128321,4473
220,128834,4482
221,129349,4491
222,129866,4500
223,130385,4509
224,130907,4518
225,131431,4527
226,131957,4536
227,132485,4545
228,133015,4554
229,133547,4563
230,134081,4572
231,134617,4581
232,135155,4590
233,135696,4599
234,136239,4608
235,136784,4617
236,137331,4626
237,137880,4635
238,138432,4644
239,138986,4653
240,139542,4662
241,140100,4671
242,140660,4680
243,141223,4689
244,141788,4698
245,142355,4707
246,142924,4716
247,143496,4725
248,144070,4734
249,144646,4743
250,145225,4752
251,145806,4762
252,146389,4772
253,146975,4782
254,147563,4792
255,148153,4802
256,148746,4812
257,149341,4822
258,149938,4832
259,150538,4842
260,151140,4852
261,151745,4862
262,152352,4872
263,152961,4882
264,153573,4892
265,154187,4902
266,154804,4912
267,155423,4922
268,156045,4932
269,156669,4942
270,157296,4952
271,157925,4962
272,158557,4972
273,159191,4982
274,159828,4992
275,160467,5002
276,161109,5012
277,161753,5022
278,162400,5032
279,163050,5042
280,163702,5052
281,164357,5062
282,165014,5072
283,165674,5082
284,166337,5092
285,167002,5102
286,167670,5112
287,168341,5122
288,169014,5132
289,169690,5142
290,170369,5152
291,171050,5162
292,171734,5172
293,172421,5182
294,173111,5192
295,173803,5202
296,174498,5212
297,175196,5222
298,175897,5232
299,176601,5242
300,177307,5252
301,177662,5263
302,178017,5274
303,178373,5285
304,178730,5296
305,179087,5307
306,179445,5318
307,179804,5329
308,180164,5340
309,180524,5351
310,180885,5362
311,181247,5373
312,181609,5384
313,181972,5395
314,182336,5406
315,182701,5417
316,183066,5428
317,183432,5439
318,183799,5450
319,184167,5461
320,184535,5472
321,184904,5483
322,185274,5494
323,185645,5505
324,186016,5516
325,186388,5527
326,186761,5538
327,187135,5549
328,187509,5560
329,187884,5571
330,188260,5582
331,188637,5593
332,189014,5604
333,189392,5615
334,189771,5626
335,190151,5637
336,190531,5648
337,190912,5659
338,191294,5670
339,191677,5681
340,192060,5692
341,192444,5703
342,192829,5714
343,193215,5725
344,193601,5736
345,193988,5747
346,194376,5758
347,194765,5770
348,195155,5782
349,195545,5794
350,195936,5806
351,196328,5818
352,196721,5830
353,197114,5842
354,197508,5854
355,197903,5866
356,198299,5878
357,198696,5890
358,199093,5902
359,199491,5914
360,199890,5926
361,200290,5938
362,200691,5950
363,201092,5962
364,201494,5974
365,201897,5986
366,202301,5998
367,202706,6010
368,203111,6022
369,203517,6034
370,203924,6046
371,204332,6058
372,204741,6070
373,205150,6082
374,205560,6094
375,205971,6106
376,206383,6118
377,206796,6130
378,207210,6142
379,207624,6154
380,208039,6166
381,208455,6178
382,208872,6190
383,209290,6202
384,209709,6214
385,210128,6226
386,210548,6238
387,210969,6250
388,211391,6263
389,211814,6276
390,212238,6289
391,212662,6302
392,213087,6315
393,213513,6328
394,213940,6341
395,214368,6354
396,214797,6367
397,215227,6380
398,215657,6393
399,216088,6406
400,216520,6419
401,216953,6425
402,217387,6431
403,217822,6437
404,218258,6443
405,218695,6449
406,219132,6455
407,219570,6461
408,220009,6467
409,220449,6473
410,220890,6479
411,221332,6485
412,221775,6491
413,222219,6497
414,222663,6503
415,223108,6510
416,223554,6517
417,224001,6524
418,224449,6531
419,224898,6538
420,225348,6545
421,225799,6552
422,226251,6559
423,226704,6566
424,227157,6573
425,227611,6580
426,228066,6587
427,228522,6594
428,228979,6601
429,229437,6608
430,229896,6615
431,230356,6622
432,230817,6629
433,231279,6636
434,231742,6643
435,232205,6650
436,232669,6657
437,233134,6664
438,233600,6671
439,234067,6678
440,234535,6685
441,235004,6692
442,235474,6699
443,235945,6706
444,236417,6713
445,236890,6720
446,237364,6727
447,237839,6734
448,238315,6741
449,238792,6748
450,239270,6755
451,239749,6762
452,240228,6769
453,240708,6776
454,241189,6783
455,241671,6790
456,242154,6797
457,242638,6804
458,243123,6811
459,243609,6818
460,244096,6825
461,244584,6832
462,245073,6839
463,245563,6846
464,246054,6853
465,246546,6860
466,247039,6867
467,247533,6874
468,248028,6881
469,248524,6888
470,249021,6895
471,249519,6902
472,250018,6909
473,250518,6916
474,251019,6923
475,251521,6930
476,252024,6937
477,252528,6944
478,253033,6951
479,253539,6958
480,254046,6965
481,254554,6972
482,255063,6979
483,255573,6986
484,256084,6993
485,256596,7000
486,257109,7007
487,257623,7014
488,258138,7021
489,258654,7028
490,259171,7035
491,259689,7042
492,260208,7049
493,260728,7056
494,261249,7063
495,261771,7070
496,262295,7077
497,262820,7084
498,263346,7091
499,263873,7098
500,264401,7105
501,264930,7112
502,265460,7119
503,265991,7126
504,266523,7133
505,267056,7140
506,267590,7147
507,268125,7154
508,268661,7161
509,269198,7168
510,269736,7175
511,270275,7182
512,270816,7189
513,271358,7196
514,271901,7203
515,272445,7210
516,272990,7217
517,273536,7224
518,274083,7231
519,274631,7238
520,275180,7245
521,275730,7252
522,276281,7259
523,276834,7266
524,277388,7273
525,277943,7280
526,278499,7287
527,279056,7294
