lv,price,production_n
1,330,5
2,353,7
3,378,9
4,404,12
5,432,16
6,462,19
7,494,23
8,529,28
9,566,34
10,606,41
11,648,49
12,693,59
13,742,71
14,794,85
15,850,102
16,910,122
17,974,146
18,1042,175
19,1115,210
20,1193,252
21,1277,270
22,1366,289
23,1462,309
24,1564,331
25,1673,354
26,1790,361
27,1915,368
28,2049,375
29,2192,383
30,2345,391
31,2509,399
32,2685,407
33,2873,415
34,3074,423
35,3289,431
36,3519,440
37,3765,449
38,4029,458
39,4311,467
40,4613,476
41,4936,486
42,5282,496
43,5652,506
44,6048,516
45,6471,526
46,6924,537
47,7409,548
48,7928,559
49,8483,570
50,9077,581
51,9259,587
52,9444,593
53,9633,599
54,9826,605
55,10023,611
56,10223,617
57,10427,623
58,10636,629
59,10849,635
60,11066,641
61,11287,647
62,11513,653
63,11743,660
64,11978,667
65,12218,674
66,12462,681
67,12711,688
68,12965,695
69,13224,702
70,13488,709
71,13758,716
72,14033,723
73,14314,730
74,14600,737
75,14892,744
76,15190,751
77,15494,759
78,15804,767
79,16120,775
80,16442,783
81,16771,791
82,17106,799
83,17448,807
84,17797,815
85,18153,823
86,18516,831
87,18886,839
88,19264,847
89,19649,855
90,20042,864
91,20443,873
92,20852,882
93,21269,891
94,21694,900
95,22128,909
96,22571,918
97,23022,927
98,23482,936
99,23952,945
100,24431,954
101,24675,959
102,24922,964
103,25171,969
104,25423,974
105,25677,979
106,25934,984
107,26193,989
108,26455,994
109,26720,999
110,26987,1004
111,27257,1009
112,27530,1014
113,27805,1019
114,28083,1024
115,28364,1029
116,28648,1034
117,28934,1039
118,29223,1044
119,29515,1049
120,29810,1054
121,30108,1059
122,30409,1064
123,30713,1069
124,31020,1074
125,31330,1079
126,31643,1084
127,31959,1089
128,32279,1094
129,32602,1099
130,32928,1104
131,33257,1110
132,33590,1116
133,33926,1122
134,34265,1128
135,34608,1134
136,34954,1140
137,35304,1146
138,35657,1152
139,36014,1158
140,36374,1164
141,36738,1170
142,37105,1176
143,37476,1182
144,37851,1188
145,38230,1194
146,38612,1200
147,38998,1206
148,39388,1212
149,39782,1218
150,40180,1224
151,40582,1230
152,40988,1236
153,41398,1242
154,41812,1248
155,42230,1254
156,42652,1260
157,43079,1266
158,43510,1272
159,43945,1278
160,44384,1284
161,44828,1290
162,45276,1296
163,45729,1302
164,46186,1309
165,46648,1316
166,47114,1323
167,47585,1330
168,48061,1337
169,48542,1344
170,49027,1351
171,49517,1358
172,50012,1365
173,50512,1372
174,51017,1379
175,51527,1386
176,52042,1393
177,52562,1400
178,53088,1407
179,53619,1414
180,54155,1421
181,54697,1428
182,55244,1435
183,55796,1442
184,56354,1449
185,56918,1456
186,57487,1463
187,58062,1470
188,58643,1477
189,59229,1484
190,59821,1491
191,60419,1498
192,61023,1505
193,61633,1513
194,62249,1521
195,62871,1529
196,63500,1537
197,64135,1545
198,64776,1553
199,65424,1561
200,66078,1569
201,66342,1572
202,66607,1575
203,66873,1578
204,67140,1581
205,67409,1584
206,67679,1587
207,67950,1590
208,68222,1593
209,68495,1596
210,68769,1599
211,69044,1602
212,69320,1605
213,69597,1608
214,69875,1611
215,70155,1614
216,70436,1617
217,70718,1620
218,71001,1623
219,71285,1626
220,71570,1629
221,71856,1632
222,72143,1635
223,72432,1638
224,72722,1641
225,73013,1644
226,73305,1647
227,73598,1650
228,73892,1653
229,74188,1656
230,74485,1659
231,74783,1662
232,75082,1665
233,75382,1668
234,75684,1671
235,75987,1674
236,76291,1677
237,76596,1680
238,76902,1683
239,77210,1686
240,77519,1689
241,77829,1692
242,78140,1695
243,78453,1698
244,78767,1701
245,79082,1704
246,79398,1707
247,79716,1710
248,80035,1713
249,80355,1716
250,80676,1719
251,80999,1722
252,81323,1725
253,81648,1728
254,81975,1731
255,82303,1734
256,82632,1737
257,82963,1740
258,83295,1743
259,83628,1746
260,83963,1749
261,84299,1752
262,84636,1756
263,84975,1760
264,85315,1764
265,85656,1768
266,85999,1772
267,86343,1776
268,86688,1780
269,87035,1784
270,87383,1788
271,87733,1792
272,88084,1796
273,88436,1800
274,88790,1804
275,89145,1808
276,89502,1812
277,89860,1816
278,90219,1820
279,90580,1824
280,90942,1828
281,91306,1832
282,91671,1836
283,92038,1840
284,92406,1844
285,92776,1848
286,93147,1852
287,93520,1856
288,93894,1860
289,94270,1864
290,94647,1868
291,95026,1872
292,95406,1876
293,95788,1880
294,96171,1884
295,96556,1888
296,96942,1892
297,97330,1896
298,97719,1900
299,98110,1904
300,98502,1908
301,98699,1912
302,98896,1916
303,99094,1920
304,99292,1924
305,99491,1928
306,99690,1932
307,99889,1936
308,100089,1940
309,100289,1944
310,100490,1948
311,100691,1952
312,100892,1956
313,101094,1960
314,101296,1964
315,101499,1968
316,101702,1972
317,101905,1976
318,102109,1980
319,102313,1984
320,102518,1988
321,102723,1992
322,102928,1996
323,103134,2000
324,103340,2004
325,103547,2008
326,103754,2012
327,103962,2016
328,104170,2020
329,104378,2024
330,104587,2028
331,104796,2032
332,105006,2036
333,105216,2040
334,105426,2044
335,105637,2048
336,105848,2052
337,106060,2056
338,106272,2060
339,106485,2064
340,106698,2068
341,106911,2072
342,107125,2076
343,107339,2080
344,107554,2084
